no,brand,model,ref,official_url,appraisal_found,representative_appraisal_yen,appraisal_date,condition,dealer,accessories,other_verified_records,price_difference_usable,verified_min_yen,verified_max_yen,verified_difference_yen,decision,notes,checked_at
1,ROLEX,サブマリーナ デイト,16610,https://hikakaku.com/category/all-category/watch/items/127258/,あり,1500000,2026-03-12,中古品・使用感あり,買虎,記載なし,13件以上,YES,1330000,1500000,170000,GO-A,"2026年2〜3月の近い時期・同程度の状態で複数業者の掲載実績を確認。個別の別査定であり同一個体の同時比較とは表現しない。",2026-09-02
2,ROLEX,デイトジャスト,16233,https://hikakaku.com/category/all-category/watch/items/676274/,あり,650000,2024-02-12,中古美品,買取屋アップ,記載なし,8件以上,限定的,250000,650000,400000,GO-B,"2024年以降のページ内に135万〜208万円の不自然な上振れ値が混在。LPでは650000円以下の確認可能な過去実績だけを使用し、過去事例の注記を付ける。",2026-09-02
3,ROLEX,エアキング,14000,https://hikakaku.com/category/all-category/watch/items/2847292/,あり,780000,2026-08-08,中古美品,エステメ,記載なし,5件以上,YES,600000,780000,180000,GO-A,"2025年4月〜2026年8月に中古美品の複数掲載あり。掲載時期は異なるため同時比較とは表現しない。",2026-09-02
4,ROLEX,サブマリーナ,14060,https://hikakaku.com/category/all-category/watch/items/3408826/,あり,1200000,2024-05-31,中古品・使用感あり,買虎,記載なし,7件以上,YES,1200000,1270000,70000,GO-A,"2024-05-28と2024-05-31の近接日・同状態で120万〜127万円を確認。2025-08-27の新品未開封110万円は比較カードから除外。",2026-09-02
5,ROLEX,エクスプローラーII ホワイト,16570,https://hikakaku.com/category/all-category/watch/items/2657132/,あり,1100000,2025-02-08,中古美品,エステメ大阪支店,記載なし,7件以上,YES,850000,1100000,250000,GO-A,"公式ページはホワイト文字盤。LPでも文字盤を明記し、16570全体の価格と誤認させない。",2026-09-02
6,ROLEX,デイトナ,16520,https://hikakaku.com/category/all-category/watch/items/288712/,あり,3000000,2025-06-12,中古品・使用感あり,シグマ,記載なし,10件以上,YES,2850000,3600000,750000,GO-A,"2025年5〜6月の複数掲載を採用。450万円の中古美品は状態差があるため比較レンジから外し、同時査定とは表現しない。",2026-09-02
7,ROLEX,デイトナ ブラック,116520,https://hikakaku.com/category/all-category/watch/items/125921/,あり,3750000,2026-03-06,中古美品,アサカの買取,記載なし,8件以上,YES,3000000,3750000,750000,GO-A,"2026年のカテゴリ査定実績とブラック型番ページを併用。4200万・2750万円は桁誤りとみられるため除外。",2026-09-02
8,ROLEX,GMTマスター,16700,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master/assessment_achievements/,あり,1800000,2025-11-13,中古美品,買虎,記載なし,9件以上,YES,1650000,1800000,150000,GO-A,"2025年9〜11月の16700掲載実績を採用。N番赤青・T番黒など仕様差を各カードに明記する。",2026-09-02
9,ROLEX,デイトナ ブラック,116500LN,https://hikakaku.com/category/all-category/watch/items/1034255/,あり,4100000,2026-04-16,中古美品,買虎,記載なし,9件以上,YES,3500000,4100000,600000,GO-A,"2026年4月の中古美品350万〜410万円を採用。4850万・4250万円は桁誤りとみられ、515万円は外れ値寄りのため比較カードから除外。",2026-09-02
10,ROLEX,デイトジャスト ブラック,16234,https://hikakaku.com/category/all-category/watch/items/2846863/,あり,1000000,2025-12-10,中古品・使用感あり,買虎,記載なし,7件以上,YES,700000,1000000,300000,GO-A,"2025-12-10同日に100万円と70万円の掲載を確認。ただし同一個体の同時査定かは確認できないため、別々の公式掲載実績として提示する。",2026-09-02
11,ROLEX,デイトジャスト,16013,https://hikakaku.com/category/all-category/watch/items/288862/,あり,950000,2026-02-12,中古品・使用感あり,エステメ 福岡天神店,記載なし,7件以上,YES,640000,950000,310000,GO-A,"2024〜2026年に複数掲載あり。時期差があるため、差額は参考レンジとしてのみ扱う。",2026-09-02
12,ROLEX,オイスターパーペチュアルデイト N番,15200,https://hikakaku.com/category/all-category/watch/items/3536029/,あり,450000,2022-05-11,中古品・使用感あり,エステメ,記載なし,1件,NO,450000,470000,20000,GO-B,"確認できた2件は2022年・同一業者。現在相場や業者比較には使わず、過去の実際の査定事例としてのみ掲載。N番を明記する。",2026-09-02
13,ROLEX,サブマリーナ,116610LN,https://hikakaku.com/category/all-category/watch/items/2847312/,あり,1950000,2025-02-13,中古品・使用感あり,エステメ 福岡天神店,記載なし,9件以上,YES,1450000,2080000,630000,GO-A,"2024〜2025年の複数掲載あり。110万円の掲載は同日他業者の190万円と大差があるため、比較カードでは状態・掲載日を併記する。",2026-09-02
14,ROLEX,サブマリーナ,124060,https://hikakaku.com/category/all-category/watch/items/3785900/,あり,1750000,2025-11-06,中古美品,エステメ 福岡天神店,記載なし,11件以上,YES,1680000,1850000,170000,GO-A,"2025年の中古美品で複数掲載あり。1750万円は桁誤りとみられるため除外。",2026-09-02
15,ROLEX,GMTマスターII,16710,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master-ii-men/assessment_achievements/,あり,1800000,2026-06-29,中古美品,エステメ,記載なし,5件以上,YES,1400000,2050000,650000,GO-A,"2025年12月〜2026年6月の複数掲載あり。2026-07-08の100万円は直前実績から大きく外れるため代表値に不採用。ベゼル色・シリアル差を明記する。",2026-09-02
16,ROLEX,サブマリーナ デイト,126610LN,https://hikakaku.com/category/all-category/watch/items/3785901/,あり,2030000,2026-08-19,中古美品,エステメ 福岡天神店,記載なし,10件以上,YES,1900000,2200000,300000,GO-A,"2024〜2026年の複数掲載あり。2600万・1700万円は桁誤りとみられるため除外。",2026-09-02
